project_id,equipment_id,name,type,discipline,building,floor,space,status,area_type,equipment_supplier,floor,installing_contractor,location,logistics_category_1,manufacturer,model_name,model_number,phase,serial_number,tranche,vendor,systems,no_tag_date,no_tag_person,l1_red_tag_date,l1_red_tag_person,conditional_yellow_tag_date,conditional_yellow_tag_person,l2_yellow_tag_date,l2_yellow_tag_person,energized_date,energized_person,l3_green_tag_date,l3_green_tag_person,l4_blue_tag_date,l4_blue_tag_person,l5_white_tag_date,l5_white_tag_person,current_stage,current_stage_date,current_stage_person,last_synced
39282,8742450,EDCKUL21ACS01260,ACS,Mechanical,,,ITR & SER 02,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - ITR 02,,Hisense,AVS,AVS-15HJFTDD,,VKA045 0002NP 05B1TJ2 0023,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:51:36,Nadhirah Mazlan,,,2026-09-07 11:29:51,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:29:51,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742451,EDCKUL21ACS01270,ACS,Mechanical,,,ITR & SER 02,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - SER 02,,Hisense,AVS,AVS-15HJFTDD,,VKA045 0002NP 05B0AJ2 0001,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:51:40,Nadhirah Mazlan,,,2026-09-07 11:31:43,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:31:43,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,13450400,EDCKUL21ACS01280,ACS,Mechanical,,,ECX STORAGE,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - ECX Storage 01,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-12HJFKA,,QCKALN3Z900R,1,Chen Guan,Block AH,2026-07-15 03:02:37,Nadhirah Mazlan,2026-08-18 06:08:24,Aaron Asir,,,2026-09-07 11:32:59,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:32:59,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742453,EDCKUL21ACS01310,ACS,Mechanical,,,BATTERY ROOM AA,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Battery Room AA,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05B1QJ2 0003,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:52:49,Nadhirah Mazlan,,,2026-09-07 11:35:59,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:35:59,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742454,EDCKUL21ACS01320,ACS,Mechanical,,,BATTERY ROOM AB,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Battery Room AB,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05B1QJ2 0004,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:52:53,Nadhirah Mazlan,,,2026-09-07 11:35:53,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:35:53,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742455,EDCKUL21ACS01330,ACS,Mechanical,,,BATTERY ROOM AC,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Battery Room AC,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05B1QJ2 0002,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:52:56,Nadhirah Mazlan,,,2026-09-07 11:36:46,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:36:46,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742456,EDCKUL21ACS01340,ACS,Mechanical,,,MMR 01,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - MMR 1,,Hisense,AVS,AVS-24HJFTDD,,VKA071 0002NP 0BF35J2 0030,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:53:00,Nadhirah Mazlan,,,2026-09-07 11:37:45,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:37:45,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742457,EDCKUL21ACS01350,ACS,Mechanical,,,ITR & SER 01,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - SER 01,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 04L0BJ2 0013,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:53:03,Nadhirah Mazlan,,,2026-09-07 11:39:59,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:39:59,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742458,EDCKUL21ACS01360,ACS,Mechanical,,,ITR & SER 02,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - ITR 02,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05B1QJ2 0008,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:53:09,Nadhirah Mazlan,,,2026-09-07 11:41:48,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:41:48,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742460,EDCKUL21ACS01410,ACS,Mechanical,,,CORRIDOR,NO TAG,IT,Promatrix DCS,,Promatrix DCS,,,,,,,,1,Chen Guan,Block AH,2025-01-27 10:42:36,Aaron Asir,,,,,,,,,,,,,,,No Tag,2025-01-27 10:42:36,Aaron Asir,2026-09-12T20:09:40.124047+00:00
